 Time,Vel,PitchCmd,Pitch,RateCmd,Rate,TorqueCmd
-00.06, 00.83, 09.24,-74.42,-22.60, 05.18
-00.01, 00.26, 08.82,-76.81,-26.75, 05.01
 00.04,-00.17, 08.55,-79.27,-32.12, 04.71
 00.07,-00.50, 08.24,-80.26,-34.36, 04.59
 00.12,-00.97, 07.89,-82.40,-38.05, 04.44
 00.18,-01.59, 07.51,-85.72,-40.85, 04.49
 00.24,-02.20, 07.09,-88.61,-45.77, 04.28
 00.31,-02.87, 06.63,-91.63,-51.36, 04.03
 00.38,-03.59, 06.12,-94.73,-53.49, 04.12
 00.45,-04.32, 05.55,-97.29,-57.52, 03.98
 00.51,-04.89, 05.55,-100.00,-58.97, 04.10
 00.55,-05.36, 04.43,-98.54,-62.11, 03.64
 00.59,-05.77, 03.79,-97.13,-62.78, 03.43
 00.63,-06.15, 03.17,-95.69,-64.46, 03.12
 00.66,-06.48, 02.54,-93.59,-64.12, 02.95
 00.69,-06.76, 02.54,-97.34,-64.12, 03.32
 00.72,-07.02, 01.30,-88.27,-63.11, 02.52
 00.74,-07.22, 00.68,-84.91,-62.67, 02.22
 00.75,-07.39, 00.05,-81.05,-62.11, 01.89
 00.76,-07.53,-00.56,-77.07,-62.11, 01.50
 00.78,-07.65,-01.18,-72.66,-61.88, 01.08
 00.78,-07.74,-01.81,-67.97,-62.11, 00.59
 00.79,-07.82,-02.46,-62.71,-62.44, 00.03
 00.79,-07.84,-03.06,-57.47,-62.11,-00.46
 00.79,-07.83,-03.68,-51.56,-61.66,-01.01
 00.78,-07.76,-04.29,-45.05,-60.88,-01.58
 00.77,-07.61,-04.92,-37.57,-58.41,-02.08
 00.74,-07.36,-04.92,-35.36,-54.83,-01.95
 00.71,-07.05,-05.49,-26.69,-51.81,-02.51
 00.67,-06.70,-06.53,-12.81,-47.45,-03.46
 00.63,-06.24,-06.98,-03.61,-42.41,-03.88
 00.57,-05.64,-07.38, 06.62,-37.38,-04.40
 00.48,-04.82,-07.72, 18.46,-31.89,-05.04
 00.38,-03.80,-07.72, 29.05,-31.89,-06.09
 00.26,-02.62,-08.24, 46.65,-20.03,-06.67
 00.13,-01.30,-08.42, 62.34,-12.87,-07.52
 00.01,-00.04,-08.53, 76.92,-07.83,-08.48
-00.11, 01.15,-08.58, 90.25,-00.90,-09.11
-00.26, 02.64,-08.56, 100.00, 06.27,-09.37
-00.41, 04.11,-08.49, 100.00, 09.40,-09.06
-00.51, 05.13,-08.37, 100.00, 16.34,-08.37
-00.57, 05.73,-08.20, 100.00, 18.69,-08.13
-00.61, 06.09,-08.00, 100.00, 24.17,-07.58
-00.63, 06.30,-07.77, 100.00, 26.97,-07.30
-00.64, 06.48,-07.49, 100.00, 31.33,-06.87
-00.65, 06.58,-07.16, 100.00, 35.03,-06.50
-00.66, 06.63,-06.81, 100.00, 39.39,-06.06
-00.66, 06.69,-06.42, 100.00, 41.74,-05.83
-00.68, 06.84,-06.00, 100.00, 44.99,-05.50
-00.69, 07.00,-05.58, 100.00, 45.32,-05.47
-00.71, 07.18,-05.10, 100.00, 47.67,-05.23
-00.72, 07.30,-04.63, 100.00, 47.78,-05.22
-00.73, 07.37,-04.15, 100.00, 49.80,-05.02
-00.73, 07.43,-03.65, 100.00, 50.36,-04.96
